Entry	Entry name	Protein names
P48595	SPB10_HUMAN	Serpin B10 (Bomapin) (Peptidase inhibitor 10) (PI-10)
Q96P15	SPB11_HUMAN	Serpin B11
Q96P63	SPB12_HUMAN	Serpin B12
Q9UIV8	SPB13_HUMAN	Serpin B13 (HaCaT UV-repressible serpin) (Hurpin) (Headpin) (Peptidase inhibitor 13) (PI-13) (Proteinase inhibitor 13)
P05120	PAI2_HUMAN	Plasminogen activator inhibitor 2 (PAI-2) (Monocyte Arg-serpin) (Placental plasminogen activator inhibitor) (Serpin B2) (Urokinase inhibitor)
P29508	SPB3_HUMAN	Serpin B3 (Protein T4-A) (Squamous cell carcinoma antigen 1) (SCCA-1)
P48594	SPB4_HUMAN	Serpin B4 (Leupin) (Peptidase inhibitor 11) (PI-11) (Squamous cell carcinoma antigen 2) (SCCA-2)
P36952	SPB5_HUMAN	Serpin B5 (Maspin) (Peptidase inhibitor 5) (PI-5)
P35237	SPB6_HUMAN	Serpin B6 (Cytoplasmic antiproteinase) (CAP) (Peptidase inhibitor 6) (PI-6) (Placental thrombin inhibitor)
O75635	SPB7_HUMAN	Serpin B7 (Megsin) (TP55)
P50452	SPB8_HUMAN	Serpin B8 (Cytoplasmic antiproteinase 2) (CAP-2) (CAP2) (Peptidase inhibitor 8) (PI-8)
P50453	SPB9_HUMAN	Serpin B9 (Cytoplasmic antiproteinase 3) (CAP-3) (CAP3) (Peptidase inhibitor 9) (PI-9)
P01008	ANT3_HUMAN	Antithrombin-III (ATIII) (Serpin C1)
P05546	HEP2_HUMAN	Heparin cofactor 2 (Heparin cofactor II) (HC-II) (Protease inhibitor leuserpin-2) (HLS2) (Serpin D1)
P05121	PAI1_HUMAN	Plasminogen activator inhibitor 1 (PAI) (PAI-1) (Endothelial plasminogen activator inhibitor) (Serpin E1)
P07093	GDN_HUMAN	Glia-derived nexin (GDN) (Peptidase inhibitor 7) (PI-7) (Protease nexin 1) (PN-1) (Protease nexin I) (Serpin E2)
A8MV23	SERP3_HUMAN	Serpin E3
P36955	PEDF_HUMAN	Pigment epithelium-derived factor (PEDF) (Cell proliferation-inducing gene 35 protein) (EPC-1) (Serpin F1)
P08697	A2AP_HUMAN	Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2)
P05155	IC1_HUMAN	Plasma protease C1 inhibitor (C1 Inh) (C1Inh) (C1 esterase inhibitor) (C1-inhibiting factor) (Serpin G1)
Q99574	NEUS_HUMAN	Neuroserpin (Peptidase inhibitor 12) (PI-12) (Serpin I1)
O75830	SPI2_HUMAN	Serpin I2 (Myoepithelium-derived serine protease inhibitor) (Pancpin) (Pancreas-specific protein TSA2004) (Peptidase inhibitor 14) (PI-14)
P04264	K2C1_HUMAN	"Keratin, type II cytoskeletal 1 (67 kDa cytokeratin) (Cytokeratin-1) (CK-1) (Hair alpha protein) (Keratin-1) (K1) (Type-II keratin Kb1)"
P13645	K1C10_HUMAN	"Keratin, type I cytoskeletal 10 (Cytokeratin-10) (CK-10) (Keratin-10) (K10)"
Q99456	K1C12_HUMAN	"Keratin, type I cytoskeletal 12 (Cytokeratin-12) (CK-12) (Keratin-12) (K12)"
P13646	K1C13_HUMAN	"Keratin, type I cytoskeletal 13 (Cytokeratin-13) (CK-13) (Keratin-13) (K13)"
P02533	K1C14_HUMAN	"Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)"
P19012	K1C15_HUMAN	"Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)"
P08779	K1C16_HUMAN	"Keratin, type I cytoskeletal 16 (Cytokeratin-16) (CK-16) (Keratin-16) (K16)"
Q04695	K1C17_HUMAN	"Keratin, type I cytoskeletal 17 (39.1) (Cytokeratin-17) (CK-17) (Keratin-17) (K17)"
P05783	K1C18_HUMAN	"Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)"
P08727	K1C19_HUMAN	"Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)"
P35908	K22E_HUMAN	"Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)"
P35900	K1C20_HUMAN	"Keratin, type I cytoskeletal 20 (Cytokeratin-20) (CK-20) (Keratin-20) (K20) (Protein IT)"
Q8N1A0	KT222_HUMAN	Keratin-like protein KRT222 (Keratin-222) (Keratin-222 pseudogene)
Q9C075	K1C23_HUMAN	"Keratin, type I cytoskeletal 23 (Cytokeratin-23) (CK-23) (Keratin-23) (K23)"
Q2M2I5	K1C24_HUMAN	"Keratin, type I cytoskeletal 24 (Cytokeratin-24) (CK-24) (Keratin-24) (K24) (Type I keratin-24)"
Q7Z3Z0	K1C25_HUMAN	"Keratin, type I cytoskeletal 25 (Cytokeratin-25) (CK-25) (Keratin-25) (K25) (Keratin-25A) (K25A) (Type I inner root sheath-specific keratin-K25irs1)"
Q7Z3Y9	K1C26_HUMAN	"Keratin, type I cytoskeletal 26 (Cytokeratin-26) (CK-26) (Keratin-25B) (K25B) (Keratin-26) (K26) (Type I inner root sheath-specific keratin-K25irs2)"
Q7Z3Y8	K1C27_HUMAN	"Keratin, type I cytoskeletal 27 (Cytokeratin-27) (CK-27) (Keratin-25C) (K25C) (Keratin-27) (K27) (Type I inner root sheath-specific keratin-K25irs3)"
Q7Z3Y7	K1C28_HUMAN	"Keratin, type I cytoskeletal 28 (Cytokeratin-28) (CK-28) (Keratin-25D) (K25D) (Keratin-28) (K28) (Type I inner root sheath-specific keratin-K25irs4)"
P12035	K2C3_HUMAN	"Keratin, type II cytoskeletal 3 (65 kDa cytokeratin) (Cytokeratin-3) (CK-3) (Keratin-3) (K3) (Type-II keratin Kb3)"
Q15323	K1H1_HUMAN	"Keratin, type I cuticular Ha1 (Hair keratin, type I Ha1) (Keratin-31) (K31)"
Q14532	K1H2_HUMAN	"Keratin, type I cuticular Ha2 (Hair keratin, type I Ha2) (Keratin-32) (K32)"
O76009	KT33A_HUMAN	"Keratin, type I cuticular Ha3-I (Hair keratin, type I Ha3-I) (Keratin-33A) (K33A)"
Q14525	KT33B_HUMAN	"Keratin, type I cuticular Ha3-II (Hair keratin, type I Ha3-II) (Keratin-33B) (K33B)"
O76011	KRT34_HUMAN	"Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4) (Keratin-34) (K34)"
Q92764	KRT35_HUMAN	"Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)"
O76013	KRT36_HUMAN	"Keratin, type I cuticular Ha6 (Hair keratin, type I Ha6) (Keratin-36) (K36)"
O76014	KRT37_HUMAN	"Keratin, type I cuticular Ha7 (Hair keratin, type I Ha7) (Keratin-37) (K37)"
O76015	KRT38_HUMAN	"Keratin, type I cuticular Ha8 (Hair keratin, type I Ha8) (Keratin-38) (K38)"
Q6A163	K1C39_HUMAN	"Keratin, type I cytoskeletal 39 (Cytokeratin-39) (CK-39) (Keratin-39) (K39) (Type I hair keratin Ka35)"
P19013	K2C4_HUMAN	"Keratin, type II cytoskeletal 4 (Cytokeratin-4) (CK-4) (Keratin-4) (K4) (Type-II keratin Kb4)"
Q6A162	K1C40_HUMAN	"Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)"
P13647	K2C5_HUMAN	"Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)"
P02538	K2C6A_HUMAN	"Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)"
P04259	K2C6B_HUMAN	"Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)"
P48668	K2C6C_HUMAN	"Keratin, type II cytoskeletal 6C (Cytokeratin-6C) (CK-6C) (Cytokeratin-6E) (CK-6E) (Keratin K6h) (Keratin-6C) (K6C) (Type-II keratin Kb12)"
P08729	K2C7_HUMAN	"Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)"
Q3SY84	K2C71_HUMAN	"Keratin, type II cytoskeletal 71 (Cytokeratin-71) (CK-71) (Keratin-71) (K71) (Type II inner root sheath-specific keratin-K6irs1) (Keratin 6 irs) (hK6irs) (hK6irs1) (Type-II keratin Kb34)"
Q14CN4	K2C72_HUMAN	"Keratin, type II cytoskeletal 72 (Cytokeratin-72) (CK-72) (Keratin-72) (K72) (Type II inner root sheath-specific keratin-K6irs2) (Type-II keratin Kb35)"
Q86Y46	K2C73_HUMAN	"Keratin, type II cytoskeletal 73 (Cytokeratin-73) (CK-73) (Keratin-73) (K73) (Type II inner root sheath-specific keratin-K6irs3) (Type-II keratin Kb36)"
Q7RTS7	K2C74_HUMAN	"Keratin, type II cytoskeletal 74 (Cytokeratin-74) (CK-74) (Keratin-5c) (K5C) (Keratin-74) (K74) (Type II inner root sheath-specific keratin-K6irs4) (Type-II keratin Kb37)"
O95678	K2C75_HUMAN	"Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (hK6hf) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)"
Q01546	K22O_HUMAN	"Keratin, type II cytoskeletal 2 oral (Cytokeratin-2P) (CK-2P) (K2P) (Keratin-76) (K76) (Type-II keratin Kb9)"
Q7Z794	K2C1B_HUMAN	"Keratin, type II cytoskeletal 1b (Cytokeratin-1B) (CK-1B) (Keratin-77) (K77) (Type-II keratin Kb39)"
Q8N1N4	K2C78_HUMAN	"Keratin, type II cytoskeletal 78 (Cytokeratin-78) (CK-78) (Keratin-5b) (Keratin-78) (K78) (Type-II keratin Kb40)"
Q5XKE5	K2C79_HUMAN	"Keratin, type II cytoskeletal 79 (Cytokeratin-79) (CK-79) (Keratin-6-like) (Keratin-6L) (Keratin-79) (K79) (Type-II keratin Kb38)"
P05787	K2C8_HUMAN	"Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)"
Q6KB66	K2C80_HUMAN	"Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)"
Q14533	KRT81_HUMAN	"Keratin, type II cuticular Hb1 (Hair keratin K2.9) (Keratin, hair, basic, 1) (Keratin-81) (K81) (Metastatic lymph node 137 gene protein) (MLN 137) (Type II hair keratin Hb1) (Type-II keratin Kb21) (ghHKb1) (ghHb1)"
Q9NSB4	KRT82_HUMAN	"Keratin, type II cuticular Hb2 (Keratin-82) (K82) (Type II hair keratin Hb2) (Type-II keratin Kb22)"
P78385	KRT83_HUMAN	"Keratin, type II cuticular Hb3 (Hair keratin K2.10) (Keratin-83) (K83) (Type II hair keratin Hb3) (Type-II keratin Kb23)"
Q9NSB2	KRT84_HUMAN	"Keratin, type II cuticular Hb4 (Keratin-84) (K84) (Type II hair keratin Hb4) (Type-II keratin Kb24)"
P78386	KRT85_HUMAN	"Keratin, type II cuticular Hb5 (Hair keratin K2.12) (Keratin-85) (K85) (Type II hair keratin Hb5) (Type-II keratin Kb25)"
O43790	KRT86_HUMAN	"Keratin, type II cuticular Hb6 (Hair keratin K2.11) (Keratin-86) (K86) (Type II hair keratin Hb6) (Type-II keratin Kb26)"
A6NCN2	KR87P_HUMAN	"Putative keratin-87 protein (Keratin, hair, basic pseudogene 4) (Keratin-121 pseudogene)"
P35527	K1C9_HUMAN	"Keratin, type I cytoskeletal 9 (Cytokeratin-9) (CK-9) (Keratin-9) (K9)"
P60331	KR101_HUMAN	Keratin-associated protein 10-1 (High sulfur keratin-associated protein 10.1) (Keratin-associated protein 10.1) (Keratin-associated protein 18-1) (Keratin-associated protein 18.1)
P60014	KR10A_HUMAN	Keratin-associated protein 10-10 (High sulfur keratin-associated protein 10.10) (Keratin-associated protein 10.10) (Keratin-associated protein 18-10) (Keratin-associated protein 18.10)
P60412	KR10B_HUMAN	Keratin-associated protein 10-11 (High sulfur keratin-associated protein 10.11) (Keratin-associated protein 10.11) (Keratin-associated protein 18-11) (Keratin-associated protein 18.11)
P60413	KR10C_HUMAN	Keratin-associated protein 10-12 (High sulfur keratin-associated protein 10.12) (Keratin-associated protein 10.12) (Keratin-associated protein 18-12) (Keratin-associated protein 18.12)
P60368	KR102_HUMAN	Keratin-associated protein 10-2 (High sulfur keratin-associated protein 10.2) (Keratin-associated protein 10.2) (Keratin-associated protein 18-2) (Keratin-associated protein 18.2)
P60369	KR103_HUMAN	Keratin-associated protein 10-3 (High sulfur keratin-associated protein 10.3) (Keratin-associated protein 10.3) (Keratin-associated protein 18-3) (Keratin-associated protein 18.3)
P60372	KR104_HUMAN	Keratin-associated protein 10-4 (High sulfur keratin-associated protein 10.4) (Keratin-associated protein 10.4) (Keratin-associated protein 18-4) (Keratin-associated protein 18.4)
P60370	KR105_HUMAN	Keratin-associated protein 10-5 (High sulfur keratin-associated protein 10.5) (Keratin-associated protein 10.5) (Keratin-associated protein 18-5) (Keratin-associated protein 18.5)
P60371	KR106_HUMAN	Keratin-associated protein 10-6 (High sulfur keratin-associated protein 10.6) (Keratin-associated protein 10.6) (Keratin-associated protein 18-6) (Keratin-associated protein 18.6)
P60409	KR107_HUMAN	Keratin-associated protein 10-7 (High sulfur keratin-associated protein 10.7) (Keratin-associated protein 10.7) (Keratin-associated protein 18-7) (Keratin-associated protein 18.7)
P60410	KR108_HUMAN	Keratin-associated protein 10-8 (High sulfur keratin-associated protein 10.8) (Keratin-associated protein 10.8) (Keratin-associated protein 18-8) (Keratin-associated protein 18.8)
P60411	KR109_HUMAN	Keratin-associated protein 10-9 (High sulfur keratin-associated protein 10.9) (Keratin-associated protein 10.9) (Keratin-associated protein 18-9) (Keratin-associated protein 18.9)
Q07627	KRA11_HUMAN	Keratin-associated protein 1-1 (High sulfur keratin-associated protein 1.1) (Keratin-associated protein 1.1) (Keratin-associated protein 1.6) (Keratin-associated protein 1.7)
Q8IUC1	KR111_HUMAN	Keratin-associated protein 11-1 (High sulfur keratin-associated protein 11.1)
P59990	KR121_HUMAN	Keratin-associated protein 12-1 (High sulfur keratin-associated protein 12.1) (Keratin-associated protein 12.1)
P59991	KR122_HUMAN	Keratin-associated protein 12-2 (High sulfur keratin-associated protein 12.2) (Keratin-associated protein 12.2)
P60328	KR123_HUMAN	Keratin-associated protein 12-3 (High sulfur keratin-associated protein 12.3) (Keratin-associated protein 12.3)
P60329	KR124_HUMAN	Keratin-associated protein 12-4 (High sulfur keratin-associated protein 12.4) (Keratin-associated protein 12.4)
Q8IUG1	KRA13_HUMAN	Keratin-associated protein 1-3 (Keratin-associated protein 1.8) (Keratin-associated protein 1.9)
Q8IUC0	KR131_HUMAN	Keratin-associated protein 13-1 (High sulfur keratin-associated protein 13.1)
Q52LG2	KR132_HUMAN	Keratin-associated protein 13-2
Q3SY46	KR133_HUMAN	Keratin-associated protein 13-3
Q3LI77	KR134_HUMAN	Keratin-associated protein 13-4
P0C5Y4	KRA14_HUMAN	Keratin-associated protein 1-4 (High sulfur keratin-associated protein 1.4) (Keratin-associated protein 1.4)
Q9BYS1	KRA15_HUMAN	Keratin-associated protein 1-5 (High sulfur keratin-associated protein 1.5) (Keratin-associated protein 1.5)
Q3LI76	KR151_HUMAN	Keratin-associated protein 15-1
A8MUX0	KR161_HUMAN	Keratin-associated protein 16-1
Q9BYP8	KR171_HUMAN	Keratin-associated protein 17-1 (Keratin-associated protein 16.1)
Q8IUB9	KR191_HUMAN	Keratin-associated protein 19-1 (High tyrosine-glycine keratin-associated protein 19.1)
Q3LHN2	KR192_HUMAN	Keratin-associated protein 19-2
Q7Z4W3	KR193_HUMAN	Keratin-associated protein 19-3 (GTHRP) (Glycine/tyrosine-rich protein)
Q3LI73	KR194_HUMAN	Keratin-associated protein 19-4
Q3LI72	KR195_HUMAN	Keratin-associated protein 19-5
Q3LI70	KR196_HUMAN	Keratin-associated protein 19-6
Q3SYF9	KR197_HUMAN	Keratin-associated protein 19-7
Q3LI54	KR198_HUMAN	Keratin-associated protein 19-8
Q3LI63	KR201_HUMAN	Keratin-associated protein 20-1
Q3LI61	KR202_HUMAN	Keratin-associated protein 20-2
Q3LI60	KR203_HUMAN	Keratin-associated protein 20-3
Q3LI62	KR204_HUMAN	Putative keratin-associated protein 20-4
Q9BYU5	KRA21_HUMAN	Keratin-associated protein 2-1 (High sulfur keratin-associated protein 2.1) (Keratin-associated protein 2.1)
Q3LI58	KR211_HUMAN	Keratin-associated protein 21-1
Q3LI59	KR212_HUMAN	Keratin-associated protein 21-2
Q3LHN1	KR213_HUMAN	Keratin-associated protein 21-3
Q9BYT5	KRA22_HUMAN	Keratin-associated protein 2-2 (High sulfur keratin-associated protein 2.2) (Keratin-associated protein 2.2)
Q3MIV0	KR221_HUMAN	Keratin-associated protein 22-1
Q3LI68	KR222_HUMAN	Keratin-associated protein 22-2
P0C7H8	KRA23_HUMAN	Keratin-associated protein 2-3 (High sulfur keratin-associated protein 2.4) (Keratin-associated protein 2.3)
A1A580	KR231_HUMAN	Keratin-associated protein 23-1
Q9BYR9	KRA24_HUMAN	Keratin-associated protein 2-4 (High sulfur keratin-associated protein 2.4) (Keratin-associated protein 2.4)
Q3LI83	KR241_HUMAN	Keratin-associated protein 24-1
Q3LHN0	KR251_HUMAN	Keratin-associated protein 25-1
Q6PEX3	KR261_HUMAN	Keratin-associated protein 26-1
Q3LI81	KR271_HUMAN	Keratin-associated protein 27-1
A8MX34	KR291_HUMAN	Keratin-associated protein 29-1 (Keratin-associated protein 29.2)
Q9BYR8	KRA31_HUMAN	Keratin-associated protein 3-1 (High sulfur keratin-associated protein 3.1) (Keratin-associated protein 3.1)
Q9BYR7	KRA32_HUMAN	Keratin-associated protein 3-2 (High sulfur keratin-associated protein 3.2) (Keratin-associated protein 3.2)
Q9BYR6	KRA33_HUMAN	Keratin-associated protein 3-3 (High sulfur keratin-associated protein 3.3) (Keratin-associated protein 3.3)
Q9BYQ7	KRA41_HUMAN	Keratin-associated protein 4-1 (Keratin-associated protein 4-10) (Keratin-associated protein 4.1) (Keratin-associated protein 4.10) (Ultrahigh sulfur keratin-associated protein 4.10)
Q9BYQ6	KR411_HUMAN	Keratin-associated protein 4-11 (Keratin-associated protein 4-14) (Keratin-associated protein 4.11) (Keratin-associated protein 4.14) (Ultrahigh sulfur keratin-associated protein 4.14)
Q9BQ66	KR412_HUMAN	Keratin-associated protein 4-12 (Keratin-associated protein 4.12) (Ultrahigh sulfur keratin-associated protein 4.12)
Q9BYR5	KRA42_HUMAN	Keratin-associated protein 4-2 (Keratin-associated protein 4.2) (Ultrahigh sulfur keratin-associated protein 4.2)
Q9BYR4	KRA43_HUMAN	Keratin-associated protein 4-3 (Keratin-associated protein 4.3) (Ultrahigh sulfur keratin-associated protein 4.3)
Q9BYR3	KRA44_HUMAN	Keratin-associated protein 4-4 (Keratin-associated protein 4-13) (Keratin-associated protein 4.13) (Keratin-associated protein 4.4) (Ultrahigh sulfur keratin-associated protein 4.13) (Ultrahigh sulfur keratin-associated protein 4.4)
Q9BYR2	KRA45_HUMAN	Keratin-associated protein 4-5 (Keratin-associated protein 4.5) (Ultrahigh sulfur keratin-associated protein 4.5)
Q9BYQ5	KRA46_HUMAN	Keratin-associated protein 4-6 (Keratin-associated protein 4-15) (Keratin-associated protein 4.15) (Keratin-associated protein 4.6) (Ultrahigh sulfur keratin-associated protein 4.15)
Q9BYR0	KRA47_HUMAN	Keratin-associated protein 4-7 (Keratin-associated protein 4.7) (Ultrahigh sulfur keratin-associated protein 4.7)
Q9BYQ9	KRA48_HUMAN	Keratin-associated protein 4-8 (Keratin-associated protein 4.8) (Ultrahigh sulfur keratin-associated protein 4.8)
Q9BYQ8	KRA49_HUMAN	Keratin-associated protein 4-9 (Keratin-associated protein 4.9) (Ultrahigh sulfur keratin-associated protein 4.9)
Q6L8H4	KRA51_HUMAN	"Keratin-associated protein 5-1 (Keratin, cuticle, ultrahigh sulphur 1-like) (Keratin-associated protein 5.1) (Ultrahigh sulfur keratin-associated protein 5.1)"
Q6L8G5	KR510_HUMAN	Keratin-associated protein 5-10 (Keratin-associated protein 5.10) (Ultrahigh sulfur keratin-associated protein 5.10)
Q6L8G4	KR511_HUMAN	Keratin-associated protein 5-11 (Keratin-associated protein 5.11) (Ultrahigh sulfur keratin-associated protein 5.11)
Q701N4	KRA52_HUMAN	Keratin-associated protein 5-2 (Keratin-associated protein 5-8) (Keratin-associated protein 5.2) (Keratin-associated protein 5.8) (Ultrahigh sulfur keratin-associated protein 5.2)
Q6L8H2	KRA53_HUMAN	Keratin-associated protein 5-3 (Keratin-associated protein 5-9) (Keratin-associated protein 5.3) (Keratin-associated protein 5.9) (UHS KerB-like) (Ultrahigh sulfur keratin-associated protein 5.3)
Q6L8H1	KRA54_HUMAN	Keratin-associated protein 5-4 (Keratin-associated protein 5.4) (Ultrahigh sulfur keratin-associated protein 5.4)
Q701N2	KRA55_HUMAN	Keratin-associated protein 5-5 (Keratin-associated protein 5-11) (Keratin-associated protein 5.11) (Keratin-associated protein 5.5) (Ultrahigh sulfur keratin-associated protein 5.5)
Q6L8G9	KRA56_HUMAN	Keratin-associated protein 5-6 (Keratin-associated protein 5.6) (Ultrahigh sulfur keratin-associated protein 5.6)
Q6L8G8	KRA57_HUMAN	Keratin-associated protein 5-7 (Keratin-associated protein 5-3) (Keratin-associated protein 5.3) (Keratin-associated protein 5.7) (Ultrahigh sulfur keratin-associated protein 5.7)
O75690	KRA58_HUMAN	"Keratin-associated protein 5-8 (Keratin, ultra high-sulfur matrix protein B) (Keratin-associated protein 5.8) (UHS keratin B) (UHS KerB) (Ultrahigh sulfur keratin-associated protein 5.8)"
P26371	KRA59_HUMAN	"Keratin-associated protein 5-9 (Keratin, cuticle, ultrahigh sulfur 1) (Keratin, ultra high-sulfur matrix protein A) (Keratin-associated protein 5.9) (UHS keratin A) (UHS KerA) (Ultrahigh sulfur keratin-associated protein 5.9)"
Q3LI64	KRA61_HUMAN	Keratin-associated protein 6-1
Q3LI66	KRA62_HUMAN	Keratin-associated protein 6-2
Q3LI67	KRA63_HUMAN	Keratin-associated protein 6-3
Q8IUC3	KRA71_HUMAN	Keratin-associated protein 7-1 (High tyrosine-glycine keratin-associated protein 7.1)
Q8IUC2	KRA81_HUMAN	Keratin-associated protein 8-1 (High glycine-tyrosine keratin-associated protein 8.1)
A8MXZ3	KRA91_HUMAN	Keratin-associated protein 9-1
Q9BYQ4	KRA92_HUMAN	Keratin-associated protein 9-2 (Keratin-associated protein 9.2) (Ultrahigh sulfur keratin-associated protein 9.2)
Q9BYQ3	KRA93_HUMAN	Keratin-associated protein 9-3 (Keratin-associated protein 9.3) (Ultrahigh sulfur keratin-associated protein 9.3)
Q9BYQ2	KRA94_HUMAN	Keratin-associated protein 9-4 (Keratin-associated protein 9.4) (Ultrahigh sulfur keratin-associated protein 9.4)
A8MVA2	KRA96_HUMAN	Keratin-associated protein 9-6
A8MTY7	KRA97_HUMAN	Keratin-associated protein 9-7
