Entry	Entry name	Protein names
P10145	IL8_HUMAN	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]
P06732	KCRM_HUMAN	Creatine kinase M-type (EC 2.7.3.2) (Creatine kinase M chain) (M-CK) [Cleaved into: Creatine kinase M-type, N-terminally processed]
P00709	LALBA_HUMAN	Alpha-lactalbumin (Lactose synthase B protein) (Lysozyme-like protein 7)
P41159	LEP_HUMAN	Leptin (Obese protein) (Obesity factor)
P61626	LYSC_HUMAN	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)
P02144	MYG_HUMAN	Myoglobin
Q15843	NEDD8_HUMAN	NEDD8 (Neddylin) (Neural precursor cell expressed developmentally down-regulated protein 8) (NEDD-8) (Ubiquitin-like protein Nedd8)
P15559	NQO1_HUMAN	NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1)
P16083	NQO2_HUMAN	Ribosyldihydronicotinamide dehydrogenase [quinone] (EC 1.10.99.2) (NRH dehydrogenase [quinone] 2) (NRH:quinone oxidoreductase 2) (Quinone reductase 2) (QR2)
P01127	PDGFB_HUMAN	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)
P62937	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]
Q06830	PRDX1_HUMAN	Peroxiredoxin-1 (EC 1.11.1.15) (Natural killer cell-enhancing factor A) (NKEF-A) (Proliferation-associated gene protein) (PAG) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2)
P01112	RASH_HUMAN	GTPase HRas (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]
P02753	RET4_HUMAN	Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP) [Cleaved into: Plasma retinol-binding protein(1-182); Plasma retinol-binding protein(1-181); Plasma retinol-binding protein(1-179); Plasma retinol-binding protein(1-176)]
P62987	RL40_HUMAN	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40]
P62979	RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a]
P00441	SODC_HUMAN	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1)
P63165	SUMO1_HUMAN	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)
P12081	SYHC_HUMAN	Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)
O76070	SYUG_HUMAN	Gamma-synuclein (Breast cancer-specific gene 1 protein) (Persyn) (Synoretin) (SR)
P10636	TAU_HUMAN	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)
P10599	THIO_HUMAN	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP)
P01375	TNFA_HUMAN	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]
P02787	TRFE_HUMAN	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)
P02788	TRFL_HUMAN	Lactotransferrin (Lactoferrin) (EC 3.4.21.-) (Growth-inhibiting protein 12) (Talalactoferrin) [Cleaved into: Lactoferricin-H (Lfcin-H); Kaliocin-1; Lactoferroxin-A; Lactoferroxin-B; Lactoferroxin-C]
P51965	UB2E1_HUMAN	Ubiquitin-conjugating enzyme E2 E1 (EC 6.3.2.19) (UbcH6) (Ubiquitin carrier protein E1) (Ubiquitin-protein ligase E1)
P0CG47	UBB_HUMAN	Polyubiquitin-B [Cleaved into: Ubiquitin]
P63279	UBC9_HUMAN	SUMO-conjugating enzyme UBC9 (EC 6.3.2.-) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)
P0CG48	UBC_HUMAN	Polyubiquitin-C [Cleaved into: Ubiquitin]
O00762	UBE2C_HUMAN	Ubiquitin-conjugating enzyme E2 C (EC 6.3.2.19) (UbcH10) (Ubiquitin carrier protein C) (Ubiquitin-protein ligase C)
P62988	MISSING_HUMAN	added from PG12 
